relacionada_ma,classificacao_ambientalismo,id,casa,proposicao,sigla_tipo,numero,ano,ementa,tema,autor,link
NA,Negativo,2195203,camara,PL 1709/2019,PL,1709,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre as áreas de preservação permanente em zonas urbanas.",Meio Ambiente e Desenvolvimento Sustentável,Capitão Alberto Neto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195203
NA,Fora do tema,2195806,camara,PL 1831/2019,PL,1831,2019,"Altera a redação da Lei nº 11.326, de 24 de julho de 2006, para estabelecer desoneração tributária em benefício da Agricultura Familiar e Empreendimentos Familiares Rurais.","Agricultura, Pecuária, Pesca e Extrativismo",Severino Pessoa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195806
NA,Negativo,2196688,camara,PL 2001/2019,PL,2001,2019,Dispõe sobre a desapropriação e indenização de propriedades privadas em unidades de conservação de domínio público.,Meio Ambiente e Desenvolvimento Sustentável,Pinheirinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196688
NA,Negativo,2198163,camara,PL 2294/2019,PL,2294,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, para considerar de interesse social o represamento de pequenos cursos d''água, quando voltado para a irrigação.","Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Zé Vitor,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198163
NA,Negativo,2199215,camara,PL 2510/2019,PL,2510,2019,"Altera a Lei nº 12.651, de 25 maio de 2012, para dispor sobre as áreas de proteção permanente no perímetro urbano e nas regiões metropolitanas.",Meio Ambiente e Desenvolvimento Sustentável,Rogério Peninha Mendonça,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2199215
NA,Positivo,2201526,camara,PL 2785/2019,PL,2785,2019,Define normas gerais para o licenciamento ambiental de empreendimentos minerários.,Meio Ambiente e Desenvolvimento Sustentável,André Janones; Áurea Carolina; Dr. Frederico; Gilberto Abramo; Greyce Elias; Hercílio Coelho Diniz; Igor Timo; Léo Motta; Leonardo Monteiro; Padre João; Rogério Correia; Zé Silva,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2201526
NA,Positivo,2201537,camara,PLP 127/2019,PLP,127,2019,"Altera a Lei Complementar nº 140, de 8 de dezembro de 2011, para aperfeiçoar as regras sobre as atribuições para o licenciamento ambiental.",Meio Ambiente e Desenvolvimento Sustentável,André Janones; Dr. Frederico; Gilberto Abramo; Hercílio Coelho Diniz; Igor Timo; Júlio Delgado; Léo Motta; Padre João; Zé Silva,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2201537
NA,Negativo,2204216,camara,PL 3045/2019,PL,3045,2019,Dispõe sobre o exercício de atividades agrossilvipastoris em terras indígenas e dá outras providências.,"Agricultura, Pecuária, Pesca e Extrativismo",Nelson Barbudo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204216
NA,Neutro,2204946,camara,PL 3128/2019,PL,3128,2019,"Altera a Lei nº 12.651, de 25 de Maio de 2012, para dispor sobre a exploração de madeira de espécimes mortas ou naturalmente tombadas.","Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Mara Rocha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204946
NA,Fora do tema,2210674,camara,PLP 174/2019,PLP,174,2019,"Inclui os artigos 13-A e 13-B na Lei Complementar nº 87, de 13 de setembro de 1996, a fim de reduzir a base de cálculo do ICMS nas saídas dos insumos agropecuários que especifica.","Agricultura, Pecuária, Pesca e Extrativismo",Jose Mario Schreiner,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2210674
NA,Negativo,2210921,camara,PL 3895/2019,PL,3895,2019,"Dispõe sobre a vedação de benefício tributário ou de incentivos fiscais a pessoas jurídicas condenadas por crimes ambientais ou em situação de mão de obra análoga à escravidão, e dá outras providências.",Meio Ambiente e Desenvolvimento Sustentável,Igor Kannário,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2210921
NA,Negativo,2210976,camara,PL 3903/2019,PL,3903,2019,"Altera a Lei nº 9.985, de 18 de julho de 2000, de modo a determinar que somente incidam as limitações de uso e gozo à propriedade privada localizada no interior de Unidades de Conservação após a devida indenização ou acordo que a preveja.",Meio Ambiente e Desenvolvimento Sustentável,Coronel Tadeu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2210976
NA,Negativo,2213495,camara,PL 4245/2019,PL,4245,2019,"Altera os limites da Reserva Extrativista Prainha do Canto Verde, no Município de Beberibe, no Estado do Ceará.",Meio Ambiente e Desenvolvimento Sustentável,Heitor Freire,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2213495
NA,Negativo,2213686,camara,PL 4261/2019,PL,4261,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a ocupação em áreas urbanas.",Meio Ambiente e Desenvolvimento Sustentável,Zé Vitor,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2213686
NA,Fora do tema,2214197,camara,PL 4347/2019,PL,4347,2019,"Altera a Lei nº 13.606, de 9 de janeiro de 2018, para prorrogar os prazos para adesão à renegociação de dívidas de operações de crédito rural que especifica.","Agricultura, Pecuária, Pesca e Extrativismo",Frei Anastacio Ribeiro; Paulo Guedes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2214197
NA,Negativo,2214933,camara,PL 4447/2019,PL,4447,2019,Dispõe sobre o uso sustentável do solo e dos recursos naturais em terras indígenas.,"Agricultura, Pecuária, Pesca e Extrativismo",Silas Câmara,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2214933
NA,Negativo,2215118,camara,PL 4472/2019,PL,4472,2019,"Altera redação da Lei nº 12.651, de 25 maio de 2012, para dispor sobre as áreas de proteção permanente no perímetro urbano e nas regiões metropolitanas.",Meio Ambiente e Desenvolvimento Sustentável,Fabio Schiochet,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2215118
NA,Fora do tema,2216603,camara,PL 4624/2019,PL,4624,2019,"Altera a Lei nº 7.802, de 11 de julho de 1989, para dispor sobre os agentes biológicos de controle fitossanitário ou biodefensivos.","Agricultura, Pecuária, Pesca e Extrativismo",Evandro Roman,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2216603
NA,Fora do tema,2218243,camara,PDL 597/2019,PDL,597,2019,"Susta a Instrução Normativa n° 76, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento.","Agricultura, Pecuária, Pesca e Extrativismo",Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218243
NA,Fora do tema,2218244,camara,PDL 598/2019,PDL,598,2019,"Susta a Instrução Normativa n° 77, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento.","Agricultura, Pecuária, Pesca e Extrativismo",Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218244
NA,Negativo,2218288,camara,PL 4823/2019,PL,4823,2019,"Restringe a incidência da Taxa de Controle e Fiscalização Ambiental às atividades e empreendimentos sujeitos ao poder de polícia do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis, de acordo com os critérios estabelecidos na Lei complementar n° 140, de 8 de dezembro de 2011.",Meio Ambiente e Desenvolvimento Sustentável,Lucio Mosquini,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218288
NA,Fora do tema,2220086,camara,PL 5040/2019,PL,5040,2019,"Altera o art. 161 do Decreto-Lei no 2.848, de 07 de dezembro de 1940.","Agricultura, Pecuária, Pesca e Extrativismo",Aline Sleutjes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2220086
NA,Fora do tema,2220962,camara,PL 5150/2019,PL,5150,2019,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para autorizar a posse de arma nas áreas rurais para proprietários, os meeiros, arrendatários, capatazes e posseiros de boa fé.","Agricultura, Pecuária, Pesca e Extrativismo",Pompeo de Mattos,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2220962
NA,Negativo,2222006,camara,PL 5246/2019,PL,5246,2019,"Altera a Lei nº 9.938, de 31 de agosto de 1981, para dispor sobre o licenciamento ambiental de lavras garimpeiras de pequeno porte.",Meio Ambiente e Desenvolvimento Sustentável,Delegado Éder Mauro,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2222006
NA,Negativo,2222808,camara,PL 5321/2019,PL,5321,2019,Institui o Dia Nacional da Carcinicultura.,"Agricultura, Pecuária, Pesca e Extrativismo",Eduardo Bismarck,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2222808
NA,Negativo,2223702,camara,PL 5359/2019,PL,5359,2019,"Altera a redação do inciso II do art. 1º da Lei nº 10.925, de 23 de julho de 2004, que ""Reduz as alíquotas do PIS/PASEP e da COFINS incidentes na importação e na comercialização do mercado interno de fertilizantes e defensivos agropecuários e dá outras providências"".","Agricultura, Pecuária, Pesca e Extrativismo",Vilson da Fetaemg,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2223702
NA,Negativo,2227371,camara,PL 5724/2019,PL,5724,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para dispor sobre destruição, ou queima de instrumentos, petrechos, equipamentos ou veículos de qualquer natureza utilizados em infração ambiental.",Meio Ambiente e Desenvolvimento Sustentável,Nelson Barbudo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2227371
NA,Negativo,2227753,camara,PL 5786/2019,PL,5786,2019,"Altera a Lei nº 9.605, de 1998, que ""dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências""",Meio Ambiente e Desenvolvimento Sustentável,José Medeiros,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2227753
NA,Negativo,2228130,camara,PL 5822/2019,PL,5822,2019,"Acrescenta redação à Lei no 9.985, de 18 de julho de 2000, para viabilizar o licenciamento ambiental de lavras garimpeiras de pequeno porte em Unidades de Conservação de Uso Sustentável do tipo Floresta Nacional.",Meio Ambiente e Desenvolvimento Sustentável,Delegado Éder Mauro,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2228130
NA,Negativo,2229754,camara,PL 6024/2019,PL,6024,2019,"Altera os limites da Reserva Extrativista Chico Mendes, localizada nos municípios de Assis Brasil, Brasiléia, Capixaba, Epitaciolândia, Rio Branco e Sena Madureira, no Estado do Acre e modifica a categoria do Parque Nacional da Serra do Divisor.",Meio Ambiente e Desenvolvimento Sustentável,Mara Rocha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229754
NA,Negativo,2230136,camara,PL 6085/2019,PL,6085,2019,"Dispõe sobre a dispensa das assinaturas dos confrontantes na planta e no memorial descritivo, previstas no inciso II do caput, do artigo 213 da Lei nº 6.015, de 31 de dezembro de 1973.","Agricultura, Pecuária, Pesca e Extrativismo",Jerônimo Goergen,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230136
NA,Fora do tema,2230568,camara,PDL 709/2019,PDL,709,2019,"Susta a aplicação da Solução de Consulta COSIT/RFB n° 11, de 13 de janeiro de 2017, que dispõe sobre a inaplicabilidade do contrato de parceria ou integração rural para regular as relações entre cooperativa e cooperados para fins de incidência de contribuição previdenciária sobre a receita bruta.","Agricultura, Pecuária, Pesca e Extrativismo",Sergio Souza,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230568
NA,Negativo,2230578,camara,PL 6148/2019,PL,6148,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que ""dispõe sobre as infrações e sanções administrativas ao meio ambiente, estabelece o processo administrativo federal para apuração destas infrações, e dá outras providências"", disciplinando o embargo de obras ou atividades.",Meio Ambiente e Desenvolvimento Sustentável,Marcelo Brum,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230578
NA,Fora do tema,2230904,camara,PL 6193/2019,PL,6193,2019,"Altera o Decreto Lei n° 2.848, de 7 de dezembro de 1940 - Código Penal Brasileiro para majorar a pena do crime de esbulho possessório e da? outras providências.","Agricultura, Pecuária, Pesca e Extrativismo",Jerônimo Goergen,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230904
NA,Fora do tema,2233490,camara,PL 6388/2019,PL,6388,2019,"Altera a Lei nº 10.438, de 26 de abril de 2002, com a finalidade de conceder desconto nas tarifas de energia elétrica relativas ao consumo verificado nas atividades de produção, armazenagem e beneficiamento de leite in natura realizadas por produtores rurais e cooperativas de produtores rurais.","Agricultura, Pecuária, Pesca e Extrativismo",Adriano do Baldy,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2233490
NA,Neutro - NÃO TENHO COMO JULGAR DEPENDE DE ANÁLISE MUITO MAIS DETALHADA,2234475,camara,PL 6489/2019,PL,6489,2019,"Dispõe sobre a aplicação adequada de agrotóxicos e biocidas, que causem prejuízos às culturas e aos animais, para controle das pragas, doenças e ervas daninhas, insetos vetores.","Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Aroldo Martins,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2234475
NA,Neutro,2190498,camara,PL 59/2019,PL,59,2019,"Estabelece a obrigação dos estabelecimentos veterinários, quando constatarem indícios de maus tratos nos animais atendidos, comunicar imediatamente o fato à Polícia Judiciária.",Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190498
NA,Neutro,2190621,camara,PL 148/2019,PL,148,2019,"Dispõe sobre a conservação de espécimes de erva-mate (Ilex paraguariensis) cadastrados e identificados como árvores matrizes produtoras de sementes e institui a política de incentivo à pesquisa, seleção e melhoramento genético da erva-mate.","Agricultura, Pecuária, Pesca e Extrativismo",Heitor Schuch,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190621
NA,Neutro,2190945,camara,PL 358/2019,PL,358,2019,"Altera a Lei nº 9.605, de 1998 (Lei de Crimes Ambientais), para dispor sobre o valor das multas em caso de desastre ambiental.",Meio Ambiente e Desenvolvimento Sustentável,Leandre,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190945
NA,Fora do tema,2191350,camara,PLP 12/2019,PLP,12,2019,Dispõem sobre a regulamentação da cobrança das taxas de juros nas operações de crédito à produtores rurais e dá outras providências.,"Agricultura, Pecuária, Pesca e Extrativismo",Alceu Moreira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2191350
NA,Fora do tema,2191628,camara,PDL 21/2019,PDL,21,2019,"Susta os efeitos da Circular CIRCULAR Nº 5, DE 5 DE FEVEREIRO DE 2019 da Secretaria Especial de Comércio Exterior e Assuntos Internacionais do Ministério da Economia, nos termos do inciso V do art. 49 da Constituição Federal.","Agricultura, Pecuária, Pesca e Extrativismo",Reginaldo Lopes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2191628
NA,Fora do tema,2192487,camara,PL 930/2019,PL,930,2019,"Altera a Lei nº 9.973, de 29 de maio de 2000.","Agricultura, Pecuária, Pesca e Extrativismo",Marlon Santos,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192487
NA,Neutro,2192985,camara,PL 1098/2019,PL,1098,2019,"Dispõe sobre a permissão, em todo o território nacional, da permanência de animais domésticos nas praias.",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192985
NA,Neutro,2193297,camara,PL 1191/2019,PL,1191,2019,"Altera a Lei nº 13.105, de 16 de março de 2015, que institui o Código de Processo Civil; altera a Lei nº 7.347, de 24 de julho de 1985, que disciplina a ação civil pública; e altera a Lei nº 4.717, de 29 de junho de 1965, que regula a ação popular, para instituir o regime de tramitação prioritária nos processos judiciais pertinentes a desastres (PL Tramitação Prioritária Desastres)",Meio Ambiente e Desenvolvimento Sustentável,Simplício Araújo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193297
NA,Negativo,2193502,camara,PDL 53/2019,PDL,53,2019,"Autoriza, nos termos do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, nos trechos das hidrovias que especifica.",Meio Ambiente e Desenvolvimento Sustentável,Nelson Barbudo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193502
NA,Neutro,2193607,camara,PL 1358/2019,PL,1358,2019,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, (Lei do Imposto de Renda de Pessoa Física) para incluir os gastos veterinários como dedutíveis da base de cálculo do imposto de renda.",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193607
NA,Neutro,2193752,camara,PL 1407/2019,PL,1407,2019,"Confere ao Município de Rio Verde, no Estado de Goiás, o titulo de Capital Nacional do Agronegócio","Agricultura, Pecuária, Pesca e Extrativismo",Magda Mofatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193752
NA,Fora do tema,2194031,camara,PL 1505/2019,PL,1505,2019,"Altera o Decreto-lei nº 73, de 21 de novembro de 1966, para estabelecer limites para o seguro obrigatório de bens dados em garantia, quando se tratar de operações de crédito rural.","Agricultura, Pecuária, Pesca e Extrativismo",Pedro Lupion,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194031
NA,Positivo,2194110,camara,PL 1519/2019,PL,1519,2019,Dispõe sobre a destinação de madeira aprendida na Amazônia para a construção de lanchas escolares por mestres carpinteiros da região e para a construção de pontes.,Meio Ambiente e Desenvolvimento Sustentável,Cássio Andrade,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194110
NA,Neutro,2195047,camara,PL 1689/2019,PL,1689,2019,Permite o trânsito de animais de pequeno porte e de cães-guia em toda a rede de transporte público e transporte privado em todo território nacional.,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195047
NA,Neutro,2195113,camara,PL 1702/2019,PL,1702,2019,"Altera o artigo 11º da lei nº 9.456, de 25 de abril de 1997, que ""Institui a Lei de Proteção de Cultivares e dá outras providências"".","Agricultura, Pecuária, Pesca e Extrativismo",Giovani Cherini,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195113
NA,Neutro,2195525,camara,PL 1776/2019,PL,1776,2019,"Dá nova redação ao artigo 289, §§ 1º e 2º acrescenta artigo 290-A, ambos da Lei nº 6.404, de 15 de dezembro de 1976, e o artigo 1º da Lei nº 8.639, de 31 de março de 1993.",Meio Ambiente e Desenvolvimento Sustentável,Wladimir Garotinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195525
NA,Positivo,2195744,camara,PL 1820/2019,PL,1820,2019,"Altera a Lei nº 8.723, de 8 de outubro de 1993, para instituir a etiquetagem veicular.",Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195744
NA,Fora do tema,2195908,camara,PL 1860/2019,PL,1860,2019,"Altera a Lei nº 8.212, de 24 de julho de 1991, a fim de acrescentar parágrafo 14 ao artigo 25 no intuito de afastar o recolhimento em duplicidade da contribuição previdenciária nas ocasiões que específica.","Agricultura, Pecuária, Pesca e Extrativismo",Aline Sleutjes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195908
NA,Neutro,2196470,camara,PL 1965/2019,PL,1965,2019,"Altera a Lei nº 9.393, de 19 de dezembro de 1996, para excluir do conceito de área tributável pelo Imposto Territorial Rural (ITR) as florestas plantadas.","Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Helio Lopes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196470
NA,Neutro,2196673,camara,PL 1992/2019,PL,1992,2019,Dispõe sobre a entrada e permanência de animais domésticos em repartições públicas federais,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196673
NA,Neutro,2196674,camara,PL 1993/2019,PL,1993,2019,Proíbe a criação ou manutenção de animais para fins de extração de pele,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196674
NA,Neutro,2196675,camara,PL 1994/2019,PL,1994,2019,Proíbe o sacrifício de animais pelos Centros de Controle de Zoonoses e por Unidades de Vigilância de Zoonoses enquanto existirem outras alternativas de tratamento.,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196675
NA,Neutro,2196953,camara,PL 2070/2019,PL,2070,2019,Permite o ingresso de animais domésticos e de estimação em hospitais para visitação de pacientes internados,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196953
NA,Fora do tema,2197198,camara,PL 2133/2019,PL,2133,2019,"Altera o inciso XVI do caput do art. 20 da Lei nº 8.036, de 11 de maio de 1990, que ""Dispõe sobre o Fundo de Garantia do Tempo de Serviço, e dá outras providências"", a fim de permitir a movimentação da conta vinculada do trabalhador no caso de desastre tecnológico.",Meio Ambiente e Desenvolvimento Sustentável,Filipe Barros,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197198
NA,Neutro,2197910,camara,PL 2266/2019,PL,2266,2019,"Altera a Lei 4.504, de 30 de novembro de 1964 e a Lei 5.868, de 12 de dezembro de 1972, para possibilitar o desmembramento da propriedade rural abaixo da fração mínima de parcelamento nos casos de divisão da propriedade entre familiares.","Agricultura, Pecuária, Pesca e Extrativismo",Toninho Wandscheer,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197910
NA,Positivo,2198500,camara,PL 2356/2019,PL,2356,2019,"Altera a Lei n 7.802, de 11 de julho de 1989, para dispor sobre a obrigatoriedade de as empresas produtoras e importadoras de agrotóxicos publicarem o volume comercializado e o lucro líquido do ano anterior.","Agricultura, Pecuária, Pesca e Extrativismo",João Daniel,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198500
NA,Neutro,2198528,camara,PL 2367/2019,PL,2367,2019,"Acrescenta parágrafo ao art. 26 da Lei n° 11.959, de 29 de junho de 2009 (Lei de Pesca), para permitir que o órgão estadual competente conceda licença ao pescador profissional para a pesca marinha.","Agricultura, Pecuária, Pesca e Extrativismo",Robério Monteiro,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198528
