casa,id_ext,fase_global,local,data_inicio,data_fim,local_casa,pulou
camara,2190884,Pré-Construção,,NA,NA,camara,FALSE
camara,2190884,Construção,Comissões,NA,NA,camara,FALSE
camara,2190884,Construção,Plenário,NA,NA,camara,FALSE
camara,2190884,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2190884,Revisão I,Comissões,NA,NA,camara,FALSE
camara,2190884,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2190884,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2190884,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2190884,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2190884,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2190884,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2190885,Pré-Construção,,NA,NA,camara,FALSE
camara,2190885,Construção,Comissões,NA,NA,camara,FALSE
camara,2190885,Construção,Plenário,NA,NA,camara,FALSE
camara,2190885,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2190885,Revisão I,Comissões,NA,NA,camara,FALSE
camara,2190885,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2190885,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2190885,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2190885,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2190885,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2190885,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2190986,Pré-Construção,,NA,NA,camara,TRUE
camara,2190986,Construção,Comissões,2019-02-19T00:00:00Z,2019-05-22T17:46:00Z,camara,FALSE
camara,2190986,Construção,Plenário,NA,NA,camara,FALSE
camara,2190986,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2190986,Revisão I,Comissões,NA,NA,senado,FALSE
camara,2190986,Revisão I,Plenário,NA,NA,senado,FALSE
camara,2190986,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2190986,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2190986,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2190986,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2190986,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2191668,Pré-Construção,,NA,NA,camara,TRUE
camara,2191668,Construção,Comissões,2019-03-19T00:00:00Z,2019-06-18T19:01:00Z,camara,FALSE
camara,2191668,Construção,Plenário,NA,NA,camara,FALSE
camara,2191668,Pré-Revisão I,,NA,NA,camara,FALSE
